ticker,present_period,win_made,lost_made,giveup_made,win_percentage,profit,capital
['AAPL;'],1y,3,1,0,0.75,88.59288242885049,1000
['AAPL;'],5y,15,8,0,0.6521739130434783,153.05824770246272,1000
['TSLA;'],1y,4,1,0,0.8,126.26854596819203,1000
['TSLA;'],5y,15,8,0,0.6521739130434783,578.4773777553013,1000
['FB;'],5y,14,5,0,0.7368421052631579,259.65146092006165,1000
['FB;'],10y,25,13,1,0.6410256410256411,437.72422245570635,1000
['FB;'],20y,25,13,1,0.6410256410256411,437.72422245570635,1000
['XOM;'],5y,9,4,1,0.6428571428571429,369.5465794699532,1000
['PG;'],1y,3,1,0,0.75,36.74572099958141,1000
['JPM;'],1y,2,1,0,0.6666666666666666,34.84281267438621,1000
['HD;'],1y,2,1,0,0.6666666666666666,13.571476527622849,1000
['MA;'],1y,2,0,0,1.0,73.80289132254461,1000
['CVX;'],1y,4,0,0,1.0,180.27136012486042,1000
['AVGO;'],5y,10,6,0,0.625,197.49858747209794,1000
['PEP;'],1y,4,0,0,1.0,91.49429539271767,1000
['PEP;'],5y,11,5,1,0.6470588235294118,156.37438616071424,1000
['COST;'],1y,2,1,0,0.6666666666666666,17.365670340401834,1000
['LLY;'],5y,12,6,0,0.6666666666666666,212.61684199741907,1000
['LLY;'],10y,25,13,1,0.6410256410256411,388.95895908900695,1000
['TMO;'],1y,4,0,0,1.0,89.28566196986617,1000
['TMO;'],5y,15,8,0,0.6521739130434783,219.64991760253926,1000
['MRK;'],1y,2,1,0,0.6666666666666666,47.78563581194177,1000
['ADBE;'],1y,2,1,0,0.6666666666666666,25.7314453125,1000
['MCD;'],20y,42,20,6,0.6176470588235294,738.0841176169258,1000
['CRM;'],1y,2,1,0,0.6666666666666666,27.50425938197543,1000
['MC;'],1y,2,1,0,0.6666666666666666,38.241414751325294,1000
['BMY;'],1y,2,0,0,1.0,67.24424525669647,1000
['QCOM;'],1y,2,0,0,1.0,103.97427150181349,1000
['LIN;'],20y,47,27,4,0.6025641025641025,972.2833684103834,1000
['DHR;'],1y,3,1,0,0.75,82.95853533063621,1000
['TXN;'],10y,23,13,2,0.6052631578947368,420.2832222529821,1000
['RY;'],1y,3,0,0,1.0,75.87996128627232,1000
['RY;'],20y,47,23,8,0.6025641025641025,925.0760102135802,1000
['NEE;'],5y,14,6,1,0.6666666666666666,295.7143853323799,1000
['NEE;'],10y,27,15,2,0.6136363636363636,382.2381839752191,1000
['NEE;'],20y,52,25,5,0.6341463414634146,985.8293442521771,1000
['MDT;'],5y,12,5,2,0.631578947368421,249.16798422677152,1000
['COP;'],1y,2,1,0,0.6666666666666666,98.46999468122203,1000
['SPGI;'],1y,2,0,1,0.6666666666666666,88.2900290352959,1000
['SPGI;'],5y,14,6,2,0.6363636363636364,313.21979566301644,1000
['ANTM;'],10y,24,13,2,0.6153846153846154,337.8362340654643,1000
['INTU;'],1y,2,0,1,0.6666666666666666,10.227154105050317,1000
['AXP;'],5y,17,7,1,0.68,227.97274780273466,1000
['AXP;'],10y,30,15,2,0.6382978723404256,367.93274252755356,1000
['DE;'],1y,2,1,0,0.6666666666666666,59.271458217075974,1000
['DE;'],5y,11,7,0,0.6111111111111112,272.24864196777355,1000
['DGE;'],5y,11,4,1,0.6875,130.93746991838736,1000
['DGE;'],10y,26,16,1,0.6046511627906976,151.50475681849923,1000
['PLD;'],1y,3,1,0,0.75,62.89572579520086,1000
['LMT;'],1y,2,1,0,0.6666666666666666,79.75715855189742,1000
['LMT;'],10y,25,11,3,0.6410256410256411,407.2268103463309,1000
['AMAT;'],1y,1,0,0,1.0,58.71427263532371,1000
['AMAT;'],5y,13,8,0,0.6190476190476191,379.2171974182131,1000
['AMAT;'],10y,27,16,1,0.6136363636363636,589.1732428755081,1000
['C;'],1y,2,0,0,1.0,101.75433731079116,1000
['MO;'],1y,2,1,0,0.6666666666666666,45.32855224609375,1000
['PYPL;'],5y,14,9,0,0.6086956521739131,78.69119153703957,1000
